address;start_bit;n_bit;type;var_name;Range;unit;Battery
0;15;16;U16;HardwareId;;;
1;15;8;U16;SoftwareId;;;
30002;15;16;U16;RsuGlobal;;;
30003;15;16;U16;ipAddress3;;;
30004;15;16;U16;ipAddress2;;;
30005;15;16;U16;ipAddress1;;;
30006;15;16;U16;ipAddress0;;;
30007;15;16;U16;macAddress5;;;
30008;15;16;U16;macAddress4;;;
30009;15;16;U16;macAddress3;;;
30010;15;16;U16;macAddress2;;;
30011;15;16;U16;macAddress1;;;
30012;15;16;U16;macAddress0;;;
30013;15;16;U16;ipAddress3;;;
30014;15;16;U16;ipAddress2;;;
30015;15;16;U16;ipAddress1;;;
30016;15;16;U16;ipAddress0;;;
30017;15;16;U16;macAddress5;;;
30018;15;16;U16;macAddress4;;;
30019;15;16;U16;macAddress3;;;
30020;15;16;U16;macAddress2;;;
30021;15;16;U16;macAddress1;;;
30022;15;16;U16;macAddress0;;;
37000;31;32;F32;WindAlarmOnThr_mps_1;;;
37002;31;32;F32;WindAlarmOffThr_mps_1;;;
37004;15;16;U16;WindAlarmOnTime_s_1;;;
37005;15;16;U16;WindAlarmOffTime_s_1;;;
37006;31;32;F32;WindLevel1Thr_mps_1;;;
37008;31;32;F32;WindLevel2Thr_mps_1;;;
37010;31;32;F32;WindLevel3Thr_mps_1;;;
37012;31;32;F32;WindLevel4Thr_mps_1;;;
37014;31;32;F32;WindLevel5Thr_mps_1;;;
37016;31;32;F32;WindLevel6Thr_mps_1;;;
37018;31;32;F32;WindLevel7Thr_mps_1;;;
37020;15;16;U16;WindLevel1OnTime_s_1;;;
37021;15;16;U16;WindLevel2OnTime_s_1;;;
37022;15;16;U16;WindLevel3OnTime_s_1;;;
37023;15;16;U16;WindLevel4OnTime_s_1;;;
37024;15;16;U16;WindLevel5OnTime_s_1;;;
37025;15;16;U16;WindLevel6OnTime_s_1;;;
37026;15;16;U16;WindLevel7OnTime_s_1;;;
37027;15;16;U16;WindLevel1OffTime_s_1;;;
37028;15;16;U16;WindLevel2OffTime_s_1;;;
37029;15;16;U16;WindLevel3OffTime_s_1;;;
37030;15;16;U16;WindLevel4OffTime_s_1;;;
37031;15;16;U16;WindLevel5OffTime_s_1;;;
37032;15;16;U16;WindLevel6OffTime_s_1;;;
37033;15;16;U16;WindLevel7OffTime_s_1;;;
37034;31;32;F32;WindSpeedHigh_mps_1;;;
37036;15;16;U16;WindHighTime_s_1;;;
37037;15;16;U16;GustyWindTime_s_1;;;
37038;15;16;U16;GustyWindNum_1;;;
