address;start_bit;n_bit;type;var_name;Range;unit;Battery
29500;31;32;U32;lastComm_s1;;;
30500;15;16;U16;ProductId_s1;;;
30500;15;8;U8;SoftwareId_s1;;;
30500;7;8;U8;HardwareId_s1;;;
30501;15;8;U8;MSRHigh_s1;;;
30501;15;3;U3;SafePositionState_s1;0..7;;
30501;12;2;U2;SPTableState_s1;0, 1, 2;;
30501;10;1;B;AccessGranted_s1;0..1;;
30501;9;2;U2;MainState_s1;0..2;;
30501;7;8;U8;MSRLow_s1;;;
30501;7;1;B;DayTime_s1;0..1;;
30501;6;4;U4;CommissionState_s1;;;
30501;2;2;U2;SleepState_s1;;;
30501;0;1;B;BTActive_a1_s1;0..1;;
30502;15;16;U16;Alarms1_s1;;;
30502;15;1;B;AlarmTestBuild_s1;0..1;;
30502;14;1;B;AlarmCriticalBatt_s1;;;1
30502;13;1;B;AlarmLowBatt_s1;;;1
30502;12;1;B;AlarmNotEnoughBatt_s1;;;1
30502;11;1;B;AlarmLimitedBatt_s1;;;1
30502;10;1;B;AlarmLowTemp_s1;;;
30502;8;1;B;AlarmZigbee_s1;0..1;;
30502;7;1;B;AlarmCom_s1;0..1;;
30502;6;1;B;AlarmStringBox_s1;;;
30502;5;1;B;AlarmSystemMonitor_s1;0..1;;
30502;4;1;B;AlarmStopButton_s1;0..1;;
30502;3;1;B;AlarmPowerFault_s1;;;
30502;2;1;B;AlarmOutOfRange_s1;;;
30502;1;1;B;AlarmLsHwBot1_s1;;;
30502;0;1;B;AlarmLsHwTop1_s1;;;
30503;15;16;U16;Alarms2_s1;;;
30503;14;1;B;AlarmAxis1LowSpeed_s1;0..1;;
30503;12;1;B;AlarmCommLost_s1;;;
30503;10;1;B;AlarmIndex1Unexpected_s1;;;
30503;9;1;B;AlarmIndex1Undetected_s1;;;
30503;8;1;B;AlarmAxis1Blocked_s1;0..1;;
30500;6;1;B;Alarm24VOutOverCurrent;0..1;;
30503;5;1;B;AlarmMotor1OverCurrentSw_s1;0..1;;
30503;4;1;B;AlarmMotor1OverCurrentHw_s1;0..1;;
30503;3;1;B;FreeAlarm20_s1;;;
30503;2;1;B;AlarmTimeNeverSet_s1;0..1;;
30504;15;16;U16;FlagsA_s1;;;
30504;15;1;B;FlagSystemOk_s1;0..1;;
30504;14;1;B;FlagReset_s1;0..1;;
30504;13;1;B;FlagNVMDataSaved_s1;0..1;;
30504;12;1;B;FlagHoldPowerFault_s1;;;
30504;11;1;B;FlagHold1_s1;0..1;;
30504;10;1;B;ChargeBlockMotor_s1;;;
30504;8;1;B;FlagSafePosRdy_s1;;;
30504;7;1;B;FlagManual_s1;0..1;;
30504;6;1;B;FlagStartAllowed_s1;0..1;;
30504;5;1;B;FlagNewSwAvailable_s1;0..1;;
30504;3;1;B;FlagMotorBreak_s1;;;
30504;1;1;B;FlagLsSwBot1_s1;0..1;;
30504;0;1;B;FlagLsSwTop1_s1;0..1;;
30505;15;16;U16;PanelVoltage_mV_s1;;mV;1
30506;31;32;F32;Position_a1_rad_s1;#NOME?;rad;
30508;15;16;U16;MotorCurrent_a1_mA_s1;;mA;
30509;15;16;U16;MotorCurrentPeak_s1;;mA;
30510;31;32;F32;TargetAngle_a1_rad_s1;#NOME?;rad;
30512;15;16;S16;PanelCurrent_mA_s1;;mA;1
30513;15;8;S8;FinishCharge_days_s1;0..100;%;1
30513;7;8;U8;StateOfCharge_s1;0..100;%;1
30513;15;16;U16;RemainingCapatity_mAh_s1;;mAh;1
30515;15;16;U16;FullCapatity_mAh_s1;;mAh;1
30516;15;16;U16;Voltage_mV_s1;;mV;1
30517;15;16;S16;AvgCurrent_mA_s1;;mA;1
30518;15;16;S16;Current_mA_s1;;mA;1
30519;15;16;U16;TempPcb_Kx10_s1;;K;1
30520;15;16;U16;TempBat_Kx10_s1;;K;1
30521;15;8;U8;MbAddress_PUB_s1;1..220;;
30521;7;8;U8;StateOfHealth_s1;;;1
