equipment;address;start_bit;n_bit;type;var_name;mult;func;up_addr;alarm
Inversor;4999;15;16;U16;Device type code;1;5;0;0
Inversor;5000;15;16;U16;Nominal active power;0.1;5;0;0
Inversor;5001;15;16;U16;Output type;1;5;0;0
Inversor;5002;15;16;U16;Daily power yields;0.1;5;0;0
Inversor;5003;31;32;U32;Total power yields;1;5;0;0
Inversor;5005;31;32;U32;Total running time;1;5;0;0
Inversor;5007;31;32;S16;Internal temperature_°C;0.1;5;0;0
Inversor;5008;31;32;U32;Total apparent power;1;5;0;0
Inversor;5010;15;16;U16;MPPT 1 voltage;0.1;5;0;0
Inversor;5011;15;16;U16;MPPT 1 current;0.1;5;0;0
Inversor;5012;15;16;U16;MPPT 2 voltage;0.1;5;0;0
Inversor;5013;15;16;U16;MPPT 2 current;0.1;5;0;0
Inversor;5014;15;16;U16;MPPT 3 voltage;0.1;5;0;0
Inversor;5015;15;16;U16;MPPT 3 current;0.1;5;0;0
Inversor;5016;31;32;U32;Total DC power;1;5;0;0
Inversor;5018;15;16;U16;A-B line voltage/phase A voltage;0.1;5;0;0
Inversor;5019;15;16;U16;B-C line Voltage/phase B Voltage;0.1;5;0;0
Inversor;5020;15;16;U16;C-A line Voltage/phase C Voltage;0.1;5;0;0
Inversor;5021;15;16;U16;Phase A current;0.1;5;0;0
Inversor;5022;15;16;U16;Phase B current;0.1;5;0;0
Inversor;5023;15;16;U16;Phase C current;0.1;5;0;0
Inversor;5030;31;32;U32;Total active power;1;5;0;0
Inversor;5032;31;32;S32;Total reactive power;1;5;0;0
Inversor;5034;31;32;S16;Power factor;0.001;5;0;0
Inversor;5035;15;16;U16;Grid frequency;0.1;5;0;0
Inversor;5037;15;16;U16;Work state;1;5;0;0
Inversor;5038;15;16;U16;Fault/Alarm time: Year;1;5;0;0
Inversor;5039;15;16;U16;Fault/Alarm time: Month;1;5;0;0
Inversor;5040;15;16;U16;Fault/Alarm time: Day;1;5;0;0
Inversor;5041;15;16;U16;Fault/Alarm time: Hour;1;5;0;0
Inversor;5042;15;16;U16;Fault/Alarm time: Minute;1;5;0;0
Inversor;5043;15;16;U16;Fault/Alarm time: Second;1;5;0;0
Inversor;5044;15;16;U16;Fault/Alarm code 1;1;5;0;0
Inversor;5048;15;16;U16;Nominal reactive power;0.1;5;0;0
Inversor;5070;15;16;U16;Array insulation resistance;1;5;0;0
Inversor;5076;31;32;U32;Active PowerRegulation Setpoint;1;5;0;0
Inversor;5078;31;32;S32;Reactive Power Regulation Setpoint;1;5;0;0
Inversor;5080;31;32;U32;Work state;1;5;0;0
Inversor;5082;31;32;S32;Meter power ;1;5;0;0
Inversor;5084;31;32;S32;Meter A phase power;1;5;0;0
Inversor;5086;31;32;S32;Meter B phase power;1;5;0;0
Inversor;5088;31;32;S32;Meter C phase power;1;5;0;0
Inversor;5090;31;32;S32;Load power;1;5;0;0
Inversor;5092;31;32;U32;Daily export energy;0.1;5;0;0
Inversor;5094;31;32;U32;Total export energy;0.1;5;0;0
Inversor;5096;31;32;U32;Daily import energy;0.1;5;0;0
Inversor;5098;31;32;U32;Total import energy;0.1;5;0;0
Inversor;5100;31;32;U32;Daily direct energy consumption;0.1;5;0;0
Inversor;5102;31;32;U32;Total direct energy consumption;0.1;5;0;0
Inversor;5112;15;16;U16;Daily running time;1;5;0;0
Inversor;5113;15;16;U16;Present country;1;5;0;0
Inversor;5114;15;16;U16;MPPT 4 voltage;0.1;5;0;0
Inversor;5115;15;16;U16;MPPT 4 current;0.1;5;0;0
Inversor;5116;15;16;U16;MPPT 5 voltage;0.1;5;0;0
Inversor;5117;15;16;U16;MPPT 5 current;0.1;5;0;0
Inversor;5118;15;16;U16;MPPT 6 voltage;0.1;5;0;0
Inversor;5119;15;16;U16;MPPT 6 current;0.1;5;0;0
Inversor;5120;15;16;U16;MPPT 7 voltage;0.1;5;0;0
Inversor;5121;15;16;U16;MPPT 7current;0.1;5;0;0
Inversor;5122;15;16;U16;MPPT 8voltage;0.1;5;0;0
Inversor;5123;15;16;U16;MPPT 8 current;0.1;5;0;0
Inversor;5127;31;32;U32;Monthly power yields;0.1;5;0;0
Inversor;5129;15;16;U16;MPPT 9 voltage;0.1;5;0;0
Inversor;5130;15;16;U16;MPPT 9 current;0.1;5;0;0
Inversor;5131;15;16;U16;MPPT 10 voltage;0.1;5;0;0
Inversor;5132;15;16;U16;MPPT 10 current;0.1;5;0;0
Inversor;5133;15;16;U16;MPPT 11 voltage;0.1;5;0;0
Inversor;5134;15;16;U16;MPPT 11 current;0.1;5;0;0
Inversor;5135;15;16;U16;MPPT 12 voltage;0.1;5;0;0
Inversor;5136;15;16;U16;MPPT 12 current;0.1;5;0;0
Inversor;5139;15;16;U16;Work status1;1;5;0;0
Inversor;5140;15;16;U16;Work status2;1;5;0;0
Inversor;5143;31;32;U32;Total power yields;0.1;5;0;0
Inversor;5145;31;32;S16;Negative voltage to the ground;0.1;5;0;0
Inversor;5146;15;16;U16;Bus voltage;0.1;5;0;0
Inversor;5147;15;16;U16;Grid frequency;0.01;5;0;0
Inversor;5149;15;16;U16;PID work state;1;5;0;0
Inversor;5150;15;16;U16;PID alarm code;1;5;0;0
Inversor;7012;15;16;U16;String 1 current;0.01;5;0;0
Inversor;7013;15;16;U16;String 2 current;0.01;5;0;0
Inversor;7014;15;16;U16;String 3 current;0.01;5;0;0
Inversor;7015;15;16;U16;String 4 current;0.01;5;0;0
Inversor;7016;15;16;U16;String 5 current;0.01;5;0;0
Inversor;7017;15;16;U16;String 6 current;0.01;5;0;0
Inversor;7018;15;16;U16;String 7 current;0.01;5;0;0
Inversor;7019;15;16;U16;String 8 current;0.01;5;0;0
Inversor;7020;15;16;U16;String 9 current;0.01;5;0;0
Inversor;7021;15;16;U16;String 10 current;0.01;5;0;0
Inversor;7022;15;16;U16;String 11 current;0.01;5;0;0
Inversor;7023;15;16;U16;String 12 current;0.01;5;0;0
Inversor;7024;15;16;U16;String 13 current;0.01;5;0;0
Inversor;7025;15;16;U16;String 14 current;0.01;5;0;0
Inversor;7026;15;16;U16;String 15 current;0.01;5;0;0
Inversor;7027;15;16;U16;String 16 current;0.01;5;0;0
Inversor;7028;15;16;U16;String 17 current;0.01;5;0;0
Inversor;7029;15;16;U16;String 18 current;0.01;5;0;0
Inversor;7030;15;16;U16;String 19 current;0.01;5;0;0
Inversor;7031;15;16;U16;String 20 current;0.01;5;0;0
Inversor;7032;15;16;U16;String 21 current;0.01;5;0;0
Inversor;7033;15;16;U16;String 22 current;0.01;5;0;0
Inversor;7034;15;16;U16;String 23 current;0.01;5;0;0
Inversor;7035;15;16;U16;String 24 current;0.01;5;0;0
Inversor;4999;15;16;U16;System clock: Year;1;6;0;0
Inversor;5000;15;16;U16;System clock: Month;1;6;0;0
Inversor;5001;15;16;U16;System clock: Day;1;6;0;0
Inversor;5002;15;16;U16;System clock: Hour;1;6;0;0
Inversor;5003;15;16;U16;System clock: Minute;1;6;0;0
Inversor;5004;15;16;U16;System clock: Second;1;6;0;0
Inversor;5005;15;16;U16;Start/Stop;1;6;0;0
Inversor;5006;15;16;U16;Power limitation switch;1;6;0;0
Inversor;5007;15;16;U16;Power limitation setting;0.001;6;0;0
Inversor;5008;15;16;U16;Reserved;1;6;0;0
Inversor;5009;15;16;U16;Export power limitation;1;6;0;0
Inversor;5010;15;16;U16;Export power limitation value;1;6;0;0
Inversor;5011;15;16;U16;Current transformer output current;1;6;0;0
Inversor;5012;15;16;U16;Current transformer range;1;6;0;0
Inversor;5013;15;16;U16;Current transformer;1;6;0;0
Inversor;5014;15;16;U16;Export power limitation percentage;0.001;6;0;0
Inversor;5015;15;16;U16;Installed PV Power;0.01;6;0;0
Inversor;5018;15;16;S16;Power factor setting;0.001;6;0;0
Inversor;5019;15;16;U16;Active Power Overload;1;6;0;0
Inversor;5034;15;16;U16;Night SVG Switch;1;6;0;0
Inversor;5035;15;16;U16;Reactive power adjustment mode;1;6;0;0
Inversor;5036;15;16;S16;Reactive power percentage setting;0.001;6;0;0
Inversor;5038;15;16;U16;Power limitation adjustment;0.1;6;0;0
Inversor;5039;15;16;S16;Reactive power adjustment ;0.1;6;0;0
Inversor;5040;15;16;U16;PID Recovery;1;6;0;0
Inversor;5041;15;16;U16;Anti-PID;1;6;0;0
Inversor;5042;15;16;U16;Full-Day PID;1;6;0;0
Inversor;5047;15;16;U16;Q(P) curve 1;1;6;0;0
Inversor;5048;15;16;U16;Q(P) curve 1;1;6;0;0
Inversor;5049;15;16;U16;Q(P) curve 1;1;6;0;0
Inversor;5050;15;16;U16;Q(P) curve 1;1;6;0;0
Inversor;5051;15;16;U16;Q(P) curve 1;1;6;0;0
Inversor;5052;15;16;U16;Q(P) curve 1;1;6;0;0
Inversor;5053;15;16;U16;Q(P) curve 1_1;1;6;0;0
