equipment;address;start_bit;n_bit;type;var_name;mult;func;up_addr;alarm
c_box;16385;31;32;F32;T1;1;4;0;0
c_box;16387;31;32;F32;T2;1;4;0;0
c_box;16389;31;32;F32;T3;1;4;0;0
c_box;16391;31;32;F32;T4;1;4;0;0
c_box;6999;15;16;U16;Device type code;1;3;0;0
c_box;7000;15;16;U16;Max. input numbers;1;3;0;0
c_box;7001;31;32;U32;Protocol ver.;1;3;0;0
c_box;7005;15;16;U16;DC bus voltage_V;0.1;3;0;0
c_box;7006;15;16;S16;Internal temperature_℃;0.1;3;0;0
c_box;7009;15;16;U16;Digit input;1;3;0;0
c_box;7010;15;16;U16;Max. Current_A;0.01;3;0;0
c_box;7011;15;16;U16;Average current_A;0.01;3;0;0
c_box;7012;15;16;S16;Current of 1st input_A;0.01;3;0;0
c_box;7013;15;16;S16;Current of 2nd input_A;0.01;3;0;0
c_box;7014;15;16;S16;Current of 3rd input_A;0.01;3;0;0
c_box;7015;15;16;S16;Current of 4th input_A;0.01;3;0;0
c_box;7016;15;16;S16;Current of 5th input_A;0.01;3;0;0
c_box;7017;15;16;S16;Current of 6th input_A;0.01;3;0;0
c_box;7018;15;16;S16;Current of 7th input_A;0.01;3;0;0
c_box;7019;15;16;S16;Current of 8th input_A;0.01;3;0;0
c_box;7020;15;16;S16;Current of 9th input_A;0.01;3;0;0
c_box;7021;15;16;S16;Current of 10th input_A;0.01;3;0;0
c_box;7022;15;16;S16;Current of 11th input_A;0.01;3;0;0
c_box;7023;15;16;S16;Current of 12th input_A;0.01;3;0;0
c_box;7024;15;16;S16;Current of 13th input_A;0.01;3;0;0
c_box;7025;15;16;S16;Current of 14th input_A;0.01;3;0;0
c_box;7026;15;16;S16;Current of 15th input_A;0.01;3;0;0
c_box;7027;15;16;S16;Current of 16th input_A;0.01;3;0;0
c_box;7030;31;32;U32;Total current_A;0.1;3;0;0
c_box;7032;31;32;U32;Total DC power_W;1;3;0;0
c_box;7034;31;32;U32;Daily power yields_kWh;0.1;3;0;0
c_box;7036;31;32;U32;Total power yields_kWh;0.1;3;0;0
c_box;7040;31;32;U32;Work state;1;3;0;0
c_box;7042;31;32;U32;Short circuit data;1;3;0;0
c_box;7044;31;32;U32;Reverse current;1;3;0;0
c_box;7046;31;32;U32;High current data;1;3;0;0
c_box;7048;31;32;U32;Fuse blow;1;3;0;0
c_box;7050;31;32;U32;Low current data;1;3;0;0
c_box;7054;31;32;U32;Open circuit data;1;3;0;0
c_box;7058;15;16;U16;Power of 1st input_W;1;3;0;0
c_box;7059;15;16;U16;Power of 2nd input_W;1;3;0;0
c_box;7060;15;16;U16;Power of 3rd input_W;1;3;0;0
c_box;7061;15;16;U16;Power of 4th input_W;1;3;0;0
c_box;7062;15;16;U16;Power of 5th input_W;1;3;0;0
c_box;7063;15;16;U16;Power of 6th input_W;1;3;0;0
c_box;7064;15;16;U16;Power of 7th input_W;1;3;0;0
c_box;7065;15;16;U16;Power of 8th input_W;1;3;0;0
c_box;7066;15;16;U16;Power of 9th input_W;1;3;0;0
c_box;7067;15;16;U16;Power of 10th input_W;1;3;0;0
c_box;7068;15;16;U16;Power of 11th input_W;1;3;0;0
c_box;7069;15;16;U16;Power of 12th input_W;1;3;0;0
c_box;7070;15;16;U16;Power of 13th input_W;1;3;0;0
c_box;7071;15;16;U16;Power of 14th input_W;1;3;0;0
c_box;7072;15;16;U16;Power of 15th input_W;1;3;0;0
c_box;7073;15;16;U16;Power of 16th input_W;1;3;0;0
