equipment;address;start_bit;n_bit;type;var_name;mult;func;up_addr;alarm
c_box;16383;31;32;F32;DM_SIG_ID_PV_V;1;4;0;0
c_box;16385;31;32;F32;DM_SIG_ID_PV_TEMP_INTERNEL;1;4;0;0
c_box;16387;31;32;F32;DM_SIG_ID_PV_I1;1;4;0;0
c_box;16389;31;32;F32;DM_SIG_ID_PV_I2;1;4;0;0
c_box;16391;31;32;F32;DM_SIG_ID_PV_I3;1;4;0;0
c_box;16393;31;32;F32;DM_SIG_ID_PV_I4;1;4;0;0
c_box;16395;31;32;F32;DM_SIG_ID_PV_I5;1;4;0;0
c_box;16397;31;32;F32;DM_SIG_ID_PV_I6;1;4;0;0
c_box;16399;31;32;F32;DM_SIG_ID_PV_I7;1;4;0;0
c_box;16401;31;32;F32;DM_SIG_ID_PV_I8;1;4;0;0
c_box;16403;31;32;F32;DM_SIG_ID_PV_I9;1;4;0;0
c_box;16405;31;32;F32;DM_SIG_ID_PV_I10;1;4;0;0
c_box;16407;31;32;F32;DM_SIG_ID_PV_I11;1;4;0;0
c_box;16409;31;32;F32;DM_SIG_ID_PV_I12;1;4;0;0
c_box;16411;31;32;F32;DM_SIG_ID_PV_I13;1;4;0;0
c_box;16413;31;32;F32;DM_SIG_ID_PV_I14;1;4;0;0
c_box;16415;31;32;F32;DM_SIG_ID_PV_I15;1;4;0;0
c_box;16417;31;32;F32;DM_SIG_ID_PV_I16;1;4;0;0
c_box;16419;31;32;F32;DM_SIG_ID_PV_I17;1;4;0;0
c_box;16421;31;32;F32;DM_SIG_ID_PV_I18;1;4;0;0
c_box;16423;31;32;F32;DM_SIG_ID_PV_I19;1;4;0;0
c_box;16425;31;32;F32;DM_SIG_ID_PV_I20;1;4;0;0
c_box;16427;15;16;U16;DM_SIG_ID_PV_ON_OFF_IN1;1;4;0;0
c_box;16428;15;16;U16;DM_SIG_ID_PV_ON_OFF_IN2;1;4;0;0
c_box;16429;15;16;U16;DM_SIG_ID_PV_ON_OFF_IN3;1;4;0;0
c_box;16430;15;16;U16;DM_SIG_ID_PV_ON_OFF_IN4;1;4;0;0
c_box;16431;15;16;U16;DM_SIG_ID_PV_ON_OFF_IN5;1;4;0;0
c_box;16437;15;16;U16;DM_SIG_ID_PV_HW_VARIANT;1;4;0;0
c_box;16438;15;16;U16;DM_SIG_ID_PV_HW_VER;1;4;0;0
c_box;16439;15;16;U16;DM_SIG_ID_PV_FW_VER;1;4;0;0
c_box;16440;31;32;F32;DM_SIG_ID_PV_PCB_TEMP;1;4;0;0
c_box;16442;31;32;F32;DM_SIG_ID_PV_SYSTEM_VOL;1;4;0;0
c_box;16444;15;16;U16;DM_SIG_ID_PV_EVENT_FLAGS;1;4;0;0
c_box;16445;15;16;U16;DM_SIG_ID_PV_BLOWN_FUSES;1;4;0;0
c_box;16446;15;16;U16;DM_SIG_ID_PV_UNDERCURENT;1;4;0;0
c_box;16447;31;32;F32;DM_SIG_ID_PV_UNDERVOLTAGE_THRESHOLD;1;4;0;0
c_box;16449;31;32;F32;DM_SIG_ID_PV_UNCURRENT_THRESHOLD;1;4;0;0
c_box;16451;15;16;U16;DM_SIG_ID_PV_MASK;1;4;0;0
